title,genres,director,actor1,actor2,actor3,comb
critical thinking,Drama,John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo Drama
the owners,Thriller Horror,Julius Berg,Mathieu Gompel (screenplay); Maisie Williams,Sylvester McCoy,Rita Tushingham,Mathieu Gompel (screenplay); Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg Thriller Horror
guest house,Comedy,Sam Macaroni,Sean Bishop,Mike Castle,Aimee Teegarden,Sean Bishop Mike Castle Aimee Teegarden Sam Macaroni Comedy
the babysitter: killer queen,Comedy Horror,McG,Dan Lagana (screenplay); Judah Lewis,Emily Alyn Lind,Jenna Ortega,Dan Lagana (screenplay); Judah Lewis Emily Alyn Lind Jenna Ortega McG Comedy Horror
unpregnant,Drama Comedy,Rachel Lee Goldenberg,Ted Caplan,Barbie Ferreira,Alex MacNicoll,Ted Caplan Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg Drama Comedy
the devil all the time,Crime Drama Thriller,Antonio Campos,Paulo Campos (screenplay); Tom Holland,Bill Skarsgård,Riley Keough,Paulo Campos (screenplay); Tom Holland Bill Skarsgård Riley Keough Antonio Campos Crime Drama Thriller
the broken hearts gallery,Comedy Romance,Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky Comedy Romance
i met a girl,Comedy Drama Romance,Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,Brenton Thwaites Lily Sullivan Joel Jackson Luke Eve Comedy Drama Romance
rent-a-pal,Horror Thriller,Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson Horror Thriller
cats & dogs 3: paws unite!,Comedy Action,Sean McNamara,Melissa Rauch,Max Greenfield,George Lopez,Melissa Rauch Max Greenfield George Lopez Sean McNamara Comedy Action
the secrets we keep,Thriller,Yuval Adler,Ryan Covington (screenplay); Noomi Rapace,Joel Kinnaman,Chris Messina,Ryan Covington (screenplay); Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler Thriller
antebellum,Horror,"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe Horror"
the nest,Drama Romance,Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Jude Law Carrie Coon Charlie Shotwell Sean Durkin Drama Romance
blackbird,Drama,Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell Drama
lost girls & love hotels,Drama,William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Alexandra Daddario Takehiro Hira Carice van Houten William Olsson Drama
killian & the comeback kids,,Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,Taylor A. Purdee John Donchak Nathan Purdee Taylor A. Purdee 
enola holmes,Crime Drama Mystery,Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,Millie Bobby Brown Henry Cavill Sam Claflin Harry Bradbeer Crime Drama Mystery
the trial of the chicago 7,Drama History Thriller,Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,Yahya Abdul-Mateen II Sacha Baron Cohen Danny Flaherty Aaron Sorkin Drama History Thriller
ava,Action Crime Drama Thriller,Tate Taylor,Jessica Chastain,John Malkovich,Common,Jessica Chastain John Malkovich Common Tate Taylor Action Crime Drama Thriller
kajillionaire,Crime Drama Comedy,Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,Evan Rachel Wood Richard Jenkins Debra Winger Miranda July Crime Drama Comedy
the last shift,Comedy Drama,Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,Richard Jenkins Shane Paul McGhie Da'Vine Joy Randolph Andrew Cohn Comedy Drama
secret society of second-born royals,Action Adventure Comedy Fantasy,Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,Peyton Elizabeth Lee Skylar Astin Élodie Yung Anna Mastro Action Adventure Comedy Fantasy
she's in portland,Comedy Drama,Marc Carlini,Patrick Alexander (screenplay); Tommy Dewey,François Arnaud,Minka Kelly,Patrick Alexander (screenplay); Tommy Dewey François Arnaud Minka Kelly Marc Carlini Comedy Drama
sightless,Thriller,Cooper Karl,Madelaine Petsch,Alexander Koch,,Madelaine Petsch Alexander Koch  Cooper Karl Thriller
the boys in the band,Drama,Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,Jim Parsons Zachary Quinto Matt Bomer Joe Mantello Drama
the glorias,Drama,Julie Taymor,Sarah Ruhl (screenplay); Julianne Moore,Alicia Vikander,Timothy Hutton,Sarah Ruhl (screenplay); Julianne Moore Alicia Vikander Timothy Hutton Julie Taymor Drama
on the rocks,Comedy,Sofia Coppola,Rashida Jones,Bill Murray,Marlon Wayans,Rashida Jones Bill Murray Marlon Wayans Sofia Coppola Comedy
spontaneous,Comedy Horror,Brian Duffield,Katherine Langford,Charlie Plummer,Hayley Law,Katherine Langford Charlie Plummer Hayley Law Brian Duffield Comedy Horror
vampires vs. the bronx,Comedy Horror,Osmany Rodriguez,Blaise Hemingway (screenplay); Jaden Michael,Gerald W. Jones III,Gregory Diaz IV,Blaise Hemingway (screenplay); Jaden Michael Gerald W. Jones III Gregory Diaz IV Osmany Rodriguez Comedy Horror
possessor,Thriller Science Fiction Horror,Brandon Cronenberg,Andrea Riseborough,Christopher Abbott,Rossif Sutherland,Andrea Riseborough Christopher Abbott Rossif Sutherland Brandon Cronenberg Thriller Science Fiction Horror
death of me,Horror Mystery,Darren Lynn Bousman,Maggie Q,Alex Essoe,Luke Hemsworth,Maggie Q Alex Essoe Luke Hemsworth Darren Lynn Bousman Horror Mystery
the call,Crime Thriller,Timothy Woodward Jr.,Lin Shaye,Tobin Bell,,Lin Shaye Tobin Bell  Timothy Woodward Jr. Crime Thriller
american pie presents: girls' rules,Comedy,Mike Elliott,Madison Pettis,Lizze Broadway,Piper Curda,Madison Pettis Lizze Broadway Piper Curda Mike Elliott Comedy
the lie,Drama Horror Mystery Thriller,Veena Sud,Mireille Enos,Peter Sarsgaard,Joey King,Mireille Enos Peter Sarsgaard Joey King Veena Sud Drama Horror Mystery Thriller
black box,Horror Science Fiction Thriller,Emmanuel Osei-Kuffour Jr.,Stephen Herman (screenplay); Mamoudou Athie,Phylicia Rashad,,Stephen Herman (screenplay); Mamoudou Athie Phylicia Rashad  Emmanuel Osei-Kuffour Jr. Horror Science Fiction Thriller
hubie halloween,Comedy Fantasy Mystery Horror,Steven Brill,Adam Sandler,Kevin James,Julie Bowen,Adam Sandler Kevin James Julie Bowen Steven Brill Comedy Fantasy Mystery Horror
books of blood,Horror Science Fiction,Brannon Braga,Adam Simon (screenplay); Britt Robertson,Anna Friel,Rafi Gavron,Adam Simon (screenplay); Britt Robertson Anna Friel Rafi Gavron Brannon Braga Horror Science Fiction
charm city kings,Drama,Angel Manuel Soto,Jahi Di'Allo Winston,Meek Mill,Will Catlett,Jahi Di'Allo Winston Meek Mill Will Catlett Angel Manuel Soto Drama
the war with grandpa,Comedy Family Drama,Tim Hill,Robert De Niro,Uma Thurman,Rob Riggle,Robert De Niro Uma Thurman Rob Riggle Tim Hill Comedy Family Drama
a rainy day in new york,Comedy Romance,Woody Allen,Timothée Chalamet,Elle Fanning,Selena Gomez,Timothée Chalamet Elle Fanning Selena Gomez Woody Allen Comedy Romance
yellow rose,Drama Music,Diane Paragas,Annie J. Howell,Dale Watson,Princess Punzalan,Annie J. Howell Dale Watson Princess Punzalan Diane Paragas Drama Music
the 40-year-old version,Comedy Drama,Radha Blank,Radha Blank,Peter Kim,Oswin Benjamin,Radha Blank Peter Kim Oswin Benjamin Radha Blank Comedy Drama
nocturne,Horror Mystery Thriller,Zu Quirke,Sydney Sweeney,Madison Iseman,Jacques Colimon,Sydney Sweeney Madison Iseman Jacques Colimon Zu Quirke Horror Mystery Thriller
evil eye,Mystery Thriller,"Elan Dassani, Rajeev Dassani",Sarita Choudhury,Sunita Mani,Omar Maskati,"Sarita Choudhury Sunita Mani Omar Maskati Elan Dassani, Rajeev Dassani Mystery Thriller"
a babysitter's guide to monster hunting,Family Fantasy Adventure Comedy,Rachel Talalay,Tamara Smart,Oona Laurence,Tom Felton,Tamara Smart Oona Laurence Tom Felton Rachel Talalay Family Fantasy Adventure Comedy
love and monsters,Comedy Science Fiction Action Adventure,Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,Dylan O'Brien Jessica Henwick Dan Ewing Michael Matthews Comedy Science Fiction Action Adventure
honest thief,Thriller Action Crime Drama,Mark Williams,Steve Allrich (screenplay); Liam Neeson,Kate Walsh,Robert Patrick,Steve Allrich (screenplay); Liam Neeson Kate Walsh Robert Patrick Mark Williams Thriller Action Crime Drama
clouds,Music Drama Romance,Justin Baldoni,Fin Argus,Sabrina Carpenter,Madison Iseman,Fin Argus Sabrina Carpenter Madison Iseman Justin Baldoni Music Drama Romance
the kid detective,Comedy Drama Crime Mystery,Evan Morgan,Adam Brody,Sophie Nélisse,Tzi Ma,Adam Brody Sophie Nélisse Tzi Ma Evan Morgan Comedy Drama Crime Mystery
alone,Thriller Horror Drama,Johnny Martin,Tyler Posey,Summer Spiro,Robert Ri'chard,Tyler Posey Summer Spiro Robert Ri'chard Johnny Martin Thriller Horror Drama
2 hearts,Drama Romance,Lance Hool,Jacob Elordi,Adan Canto,Tiera Skovbye,Jacob Elordi Adan Canto Tiera Skovbye Lance Hool Drama Romance
the opening act,Comedy,Steve Byrne,Jimmy O. Yang,Alex Moffat,Cedric the Entertainer,Jimmy O. Yang Alex Moffat Cedric the Entertainer Steve Byrne Comedy
tremors: shrieker island,Action Horror,Don Michael Paul,Brian Brightly (screenplay); Michael Gross,Jon Heder,,Brian Brightly (screenplay); Michael Gross Jon Heder  Don Michael Paul Action Horror
the witches,Family Fantasy Adventure Comedy Horror,Robert Zemeckis,Kenya Barris,Octavia Spencer,Stanley Tucci,Kenya Barris Octavia Spencer Stanley Tucci Robert Zemeckis Family Fantasy Adventure Comedy Horror
over the moon,Animation Adventure Family Fantasy,Glen Keane,Cathy Ang,Phillipa Soo,Ken Jeong,Cathy Ang Phillipa Soo Ken Jeong Glen Keane Animation Adventure Family Fantasy
borat subsequent moviefilm,Comedy,Jason Woliner,Sacha Baron Cohen,Maria Bakalova,,Sacha Baron Cohen Maria Bakalova  Jason Woliner Comedy
after we collided,Romance Drama,Roger Kumble,Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse,Josephine Langford Hero Fiennes Tiffin Dylan Sprouse Roger Kumble Romance Drama
the empty man,Horror Crime Drama,David Prior,James Badge Dale,Marin Ireland,Stephen Root,James Badge Dale Marin Ireland Stephen Root David Prior Horror Crime Drama
synchronic,Science Fiction Drama Thriller,"Justin Benson, Aaron Moorhead",Anthony Mackie,Jamie Dornan,,"Anthony Mackie Jamie Dornan  Justin Benson, Aaron Moorhead Science Fiction Drama Thriller"
children of the corn,Horror Thriller,Kurt Wimmer,Elena Kampouris,Kate Moyer,Callan Mulvey,Elena Kampouris Kate Moyer Callan Mulvey Kurt Wimmer Horror Thriller
bad hair,TV Movie Adventure Comedy,Justin Simien,Elle Lorraine,Vanessa Williams,Jay Pharoah,Elle Lorraine Vanessa Williams Jay Pharoah Justin Simien TV Movie Adventure Comedy
friendsgiving,Comedy,Nicol Paone,Malin Åkerman,Kat Dennings,Aisha Tyler,Malin Åkerman Kat Dennings Aisha Tyler Nicol Paone Comedy
the craft: legacy,Horror Drama Fantasy,Zoe Lister-Jones,Cailee Spaeny,Gideon Adlon,Lovie Simone,Cailee Spaeny Gideon Adlon Lovie Simone Zoe Lister-Jones Horror Drama Fantasy
holidate,Comedy Romance,John Whitesell,Emma Roberts,Luke Bracey,Kristin Chenoweth,Emma Roberts Luke Bracey Kristin Chenoweth John Whitesell Comedy Romance
come play,Horror Mystery,Jacob Chase,Gillian Jacobs,John Gallagher Jr.,Azhy Robertson,Gillian Jacobs John Gallagher Jr. Azhy Robertson Jacob Chase Horror Mystery
his house,Drama Horror Thriller,Remi Weekes,Wunmi Mosaku. Sope Dirisu,Matt Smith,,Wunmi Mosaku. Sope Dirisu Matt Smith  Remi Weekes Drama Horror Thriller
spell,Thriller Horror,Mark Tonderai,Omari Hardwick,Loretta Devine,,Omari Hardwick Loretta Devine  Mark Tonderai Thriller Horror
jungleland,Drama,Max Winkler,Theodore B. Bressman,Jack O'Connell,Jessica Barden,Theodore B. Bressman Jack O'Connell Jessica Barden Max Winkler Drama
let him go,Drama Thriller Crime,Thomas Bezucha,Diane Lane,Kevin Costner,Lesley Manville,Diane Lane Kevin Costner Lesley Manville Thomas Bezucha Drama Thriller Crime
the informer,Drama Crime Thriller,Andrea Di Stefano,Matt Cook,Rosamund Pike,Common,Matt Cook Rosamund Pike Common Andrea Di Stefano Drama Crime Thriller
the dark and the wicked,Horror,Bryan Bertino,Marin Ireland,Michael Abbott Jr.,Xander Berkeley,Marin Ireland Michael Abbott Jr. Xander Berkeley Bryan Bertino Horror
hillbilly elegy,Drama Comedy,Ron Howard,Amy Adams,Glenn Close,Gabriel Basso,Amy Adams Glenn Close Gabriel Basso Ron Howard Drama Comedy
mank,Drama History,David Fincher,Gary Oldman,Amanda Seyfried,Lily Collins,Gary Oldman Amanda Seyfried Lily Collins David Fincher Drama History
freaky,Horror Thriller Comedy Fantasy,Christopher Landon,Michael Kennedy (screenplay); Vince Vaughn,Kathryn Newton,Katie Finneran,Michael Kennedy (screenplay); Vince Vaughn Kathryn Newton Katie Finneran Christopher Landon Horror Thriller Comedy Fantasy
jingle jangle: a christmas journey,Family Fantasy Music,David E. Talbert,Forest Whitaker,Keegan-Michael Key,Hugh Bonneville,Forest Whitaker Keegan-Michael Key Hugh Bonneville David E. Talbert Family Fantasy Music
dreamland,Thriller Drama,Miles Joris-Peyrafitte,Finn Cole,Margot Robbie,Travis Fimmel,Finn Cole Margot Robbie Travis Fimmel Miles Joris-Peyrafitte Thriller Drama
fatman,Action Comedy Fantasy,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,"Mel Gibson Walton Goggins Marianne Jean-Baptiste Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste Action Comedy Fantasy"
the life ahead,Drama,Edoardo Ponti,Ugo Chiti (screenplay); Sophia Loren,Ibrahima Gueye,Abril Zamora,Ugo Chiti (screenplay); Sophia Loren Ibrahima Gueye Abril Zamora Edoardo Ponti Drama
the climb,Drama Action,Michael Angelo Covino,Kyle Marvin (screenplay); Kyle Marvin,Michael Angelo Covino,Gayle Rankin,Kyle Marvin (screenplay); Kyle Marvin Michael Angelo Covino Gayle Rankin Michael Angelo Covino Drama Action
chick fight,Action Comedy,Paul Leyden,Malin Åkerman,Bella Thorne,Fortune Feimster,Malin Åkerman Bella Thorne Fortune Feimster Paul Leyden Action Comedy
the princess switch: switched again,Family Romance Comedy Drama,Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl Family Romance Comedy Drama
run,Thriller Horror Drama,Aneesh Chaganty,Sev Ohanian (screenplay); Sarah Paulson,Kiera Allen,Pat Healy,Sev Ohanian (screenplay); Sarah Paulson Kiera Allen Pat Healy Aneesh Chaganty Thriller Horror Drama
sound of metal,Drama Music,Darius Marder,Abraham Marder (screenplay); Riz Ahmed,Olivia Cooke,Paul Raci,Abraham Marder (screenplay); Riz Ahmed Olivia Cooke Paul Raci Darius Marder Drama Music
the last vermeer,Drama,Dan Friedkin,Guy Pearce,Claes Bang,Vicky Krieps,Guy Pearce Claes Bang Vicky Krieps Dan Friedkin Drama
jiu jitsu,Fantasy Action Science Fiction,Dimitri Logothetis,James McGrath (screenplay); Alain Moussi,Frank Grillo,JuJu Chan,James McGrath (screenplay); Alain Moussi Frank Grillo JuJu Chan Dimitri Logothetis Fantasy Action Science Fiction
buddy games,Comedy Drama,Josh Duhamel,Bob Schwartz,Dax Shepard,Olivia Munn,Bob Schwartz Dax Shepard Olivia Munn Josh Duhamel Comedy Drama
the croods: a new age,Family Adventure Fantasy Animation,Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,Nicolas Cage Emma Stone Ryan Reynolds Joel Crawford Family Adventure Fantasy Animation
happiest season,Romance Comedy,Clea DuVall,Mary Holland (screenplay); Kristen Stewart,Mackenzie Davis,Alison Brie,Mary Holland (screenplay); Kristen Stewart Mackenzie Davis Alison Brie Clea DuVall Romance Comedy
ma rainey's black bottom,Drama Music,George C. Wolfe,Viola Davis,Chadwick Boseman,Glynn Turman,Viola Davis Chadwick Boseman Glynn Turman George C. Wolfe Drama Music
the christmas chronicles 2,Family Fantasy Adventure Comedy,Chris Columbus,Matt Lieberman (screenplay); Kurt Russell,Goldie Hawn,Darby Camp,Matt Lieberman (screenplay); Kurt Russell Goldie Hawn Darby Camp Chris Columbus Family Fantasy Adventure Comedy
uncle frank,Drama,Alan Ball,Paul Bettany,Sophia Lillis,Peter Macdissi,Paul Bettany Sophia Lillis Peter Macdissi Alan Ball Drama
folklore: the long pond studio sessions,Music Documentary,Taylor Swift,Taylor Swift,Jack Antonoff,Aaron Dessner,Taylor Swift Jack Antonoff Aaron Dessner Taylor Swift Music Documentary
superintelligence,Comedy Science Fiction Romance,Ben Falcone,Melissa McCarthy,Bobby Cannavale,Brian Tyree Henry,Melissa McCarthy Bobby Cannavale Brian Tyree Henry Ben Falcone Comedy Science Fiction Romance
life in a year,Drama Romance,Mitja Okorn,Jaden Smith,Cara Delevingne,Cuba Gooding Jr.,Jaden Smith Cara Delevingne Cuba Gooding Jr. Mitja Okorn Drama Romance
black beauty,Drama,Ashley Avis,Mackenzie Foy,Kate Winslet,Claire Forlani,Mackenzie Foy Kate Winslet Claire Forlani Ashley Avis Drama
the prom,Comedy Music Romance,Ryan Murphy,Meryl Streep,James Corden,Jo Ellen Pellman,Meryl Streep James Corden Jo Ellen Pellman Ryan Murphy Comedy Music Romance
all my life,Romance Drama,Marc Meyers,Jessica Rothe,Harry Shum Jr.,Kyle Allen,Jessica Rothe Harry Shum Jr. Kyle Allen Marc Meyers Romance Drama
godmothered,Family Fantasy Comedy,Sharon Maguire,Isla Fisher,Jillian Bell,Santiago Cabrera,Isla Fisher Jillian Bell Santiago Cabrera Sharon Maguire Family Fantasy Comedy
half brothers,Comedy Drama,Luke Greenfield,Luis Gerardo Méndez,Connor Del Rio,,Luis Gerardo Méndez Connor Del Rio  Luke Greenfield Comedy Drama
wander,Thriller Crime Mystery,April Mullen,Aaron Eckhart,Katheryn Winnick,Heather Graham,Aaron Eckhart Katheryn Winnick Heather Graham April Mullen Thriller Crime Mystery
black bear,Drama Comedy Thriller,Lawrence Michael Levine,Aubrey Plaza,Christopher Abbott,Sarah Gadon,Aubrey Plaza Christopher Abbott Sarah Gadon Lawrence Michael Levine Drama Comedy Thriller
let them all talk,Comedy Drama,Steven Soderbergh,Meryl Streep,Candice Bergen,Gemma Chan,Meryl Streep Candice Bergen Gemma Chan Steven Soderbergh Comedy Drama
the midnight sky,Science Fiction Drama,George Clooney,George Clooney,Felicity Jones,David Oyelowo,George Clooney Felicity Jones David Oyelowo George Clooney Science Fiction Drama
songbird,Thriller Romance Drama Mystery,Adam Mason,Simon Boyes (screenplay); KJ Apa,Sofia Carson,Craig Robinson,Simon Boyes (screenplay); KJ Apa Sofia Carson Craig Robinson Adam Mason Thriller Romance Drama Mystery
wild mountain thyme,Romance Drama,John Patrick Shanley,Emily Blunt,Jamie Dornan,Jon Hamm,Emily Blunt Jamie Dornan Jon Hamm John Patrick Shanley Romance Drama
safety,Family Drama History,Reginald Hudlin,Jay Reeves,Thaddeus J. Mixson,Corinne Foxx,Jay Reeves Thaddeus J. Mixson Corinne Foxx Reginald Hudlin Family Drama History
wander darkly,Romance Drama,Tara Miele,Sienna Miller,Diego Luna,Beth Grant,Sienna Miller Diego Luna Beth Grant Tara Miele Romance Drama
i'm your woman,Drama Crime,Julia Hart,Jordan Horowitz (screenplay); Rachel Brosnahan,Arinzé Kene,Marsha Stephanie Blake,Jordan Horowitz (screenplay); Rachel Brosnahan Arinzé Kene Marsha Stephanie Blake Julia Hart Drama Crime
the stand in,Comedy,Jamie Babbit,Drew Barrymore,Michael Zegen,T.J. Miller,Drew Barrymore Michael Zegen T.J. Miller Jamie Babbit Comedy
archenemy,Action Thriller Crime Science Fiction,Adam Egypt Mortimer,Joe Manganiello,Skylan Brooks,Zolee Griggs,Joe Manganiello Skylan Brooks Zolee Griggs Adam Egypt Mortimer Action Thriller Crime Science Fiction
farewell amor,Romance Drama,Ekwa Msangi,Ntare Mwine,Zainab Jah,Jayme Lawson,Ntare Mwine Zainab Jah Jayme Lawson Ekwa Msangi Romance Drama
monster hunter,Fantasy Action Adventure,Paul W. S. Anderson,Milla Jovovich,Tony Jaa,"Tip ""T.I."" Harris","Milla Jovovich Tony Jaa Tip ""T.I."" Harris Paul W. S. Anderson Fantasy Action Adventure"
greenland,Action Thriller Science Fiction,Ric Roman Waugh,Gerard Butler,Morena Baccarin,Roger Dale Floyd,Gerard Butler Morena Baccarin Roger Dale Floyd Ric Roman Waugh Action Thriller Science Fiction
fatale,Thriller,Deon Taylor,Hilary Swank,Michael Ealy,Mike Colter,Hilary Swank Michael Ealy Mike Colter Deon Taylor Thriller
skylines,Science Fiction Action,Liam O'Donnell,Lindsey Morgan,Jonathan Howard,Daniel Bernhardt,Lindsey Morgan Jonathan Howard Daniel Bernhardt Liam O'Donnell Science Fiction Action
hunter hunter,Horror Thriller,Shawn Linden,Devon Sawa,Camille Sullivan,Nick Stahl,Devon Sawa Camille Sullivan Nick Stahl Shawn Linden Horror Thriller
"ariana grande: excuse me, i love you",Music Documentary,Paul Dugdale,,,,   Paul Dugdale Music Documentary
sylvie's love,Drama Romance,Eugene Ashe,Tessa Thompson,Nnamdi Asomugha,Ryan Michelle Bathe,Tessa Thompson Nnamdi Asomugha Ryan Michelle Bathe Eugene Ashe Drama Romance
wonder woman 1984,Fantasy Action Adventure,Patty Jenkins,Geoff Johns,Chris Pine,Kristen Wiig,Geoff Johns Chris Pine Kristen Wiig Patty Jenkins Fantasy Action Adventure
soul,Family Animation Comedy Drama Music Fantasy,Pete Docter,Mike Jones,Tina Fey,Graham Norton,Mike Jones Tina Fey Graham Norton Pete Docter Family Animation Comedy Drama Music Fantasy
we can be heroes,Action Fantasy Family Drama Comedy,Robert Rodriguez,Priyanka Chopra Jonas,Pedro Pascal,YaYa Gosselin,Priyanka Chopra Jonas Pedro Pascal YaYa Gosselin Robert Rodriguez Action Fantasy Family Drama Comedy
news of the world,Action Adventure Drama Western,Paul Greengrass,Luke Davies (screenplay); Tom Hanks,Helena Zengel,,Luke Davies (screenplay); Tom Hanks Helena Zengel  Paul Greengrass Action Adventure Drama Western
one night in miami,Drama,Regina King,Kingsley Ben-Adir,Eli Goree,Aldis Hodge,Kingsley Ben-Adir Eli Goree Aldis Hodge Regina King Drama
promising young woman,Thriller Crime Drama,Emerald Fennell,Carey Mulligan,Bo Burnham,Alison Brie,Carey Mulligan Bo Burnham Alison Brie Emerald Fennell Thriller Crime Drama
pieces of a woman,Drama,Kornél Mundruczó,Vanessa Kirby,Shia LaBeouf,Molly Parker,Vanessa Kirby Shia LaBeouf Molly Parker Kornél Mundruczó Drama
