title,genres,director,actor1,actor2,actor3,comb
the last thing he wanted,Drama Thriller,"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",Marco Villalobos (screenplay); Anne Hathaway,Ben Affleck,Rosie Perez,"Marco Villalobos (screenplay); Anne Hathaway Ben Affleck Rosie Perez Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe Drama Thriller"
brahms: the boy ii,Horror Mystery Thriller,William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,Katie Holmes Owain Yeoman Christopher Convery William Brent Bell Horror Mystery Thriller
the night clerk,Crime Drama Thriller,Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,Tye Sheridan Ana de Armas Helen Hunt Michael Cristofer Crime Drama Thriller
impractical jokers: the movie,Comedy,Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Brian Quinn Joe Gatto Sal Vulcano Chris Henchy Comedy
the invisible man,Thriller Science Fiction Horror,Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,Elisabeth Moss Aldis Hodge Storm Reid Leigh Whannell Thriller Science Fiction Horror
all the bright places,Drama Romance,Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,Elle Fanning Justice Smith Alexandra Shipp Brett Haley Drama Romance
wendy,Fantasy Adventure Family,Benh Zeitlin,Eliza Zeitlin (screenplay); Tommie Lynn Milazzo,Shay Walker,,Eliza Zeitlin (screenplay); Tommie Lynn Milazzo Shay Walker  Benh Zeitlin Fantasy Adventure Family
guns akimbo,Comedy Action,Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Daniel Radcliffe Samara Weaving Natasha Liu Bordizzo Jason Lei Howden Comedy Action
onward,Animation Family Adventure Comedy Fantasy,Dan Scanlon,Jason Headley,Chris Pratt,Julia Louis-Dreyfus,Jason Headley Chris Pratt Julia Louis-Dreyfus Dan Scanlon Animation Family Adventure Comedy Fantasy
the way back,Drama,Gavin O'Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Ben Affleck Al Madrigal Michaela Watkins Gavin O'Connor Drama
